Name,Benefit,Source,Major
"Ailin'","Your cowpoke suffers from a chronic and at least so far incurable disease of some sort. The Minor version of the Hindrance means you subtract 1 from any roll made to resist Fatigue from any source. Subtract 2 if it’s a Major Hindrance.</p><p><b>Source: </b>Deadlands The Weird West, page 15","Deadlands The Weird West, page 15",true
"Angst","Dark, brooding heroes and heroines suffer from depression, loneliness, and constant fatalism. It’s harder for them to see the light at the end of the tunnel, and so suffer –2 to Smarts rolls made to recover Sanity.</p><p><b>Source: </b>Horror Companion, page 3","Horror Companion, page 3",true
"Before You Die!","This character is compelled to reveal their plans before dispatching an enemy in some dastardly fashion. This happens in small scale encounters where the character believes he has an enemy at his mercy. If the character causes a Shaken, Vulnerable, Stunned, or Distracted effect on a foe, they must divulge some element of what they intend to do next, or reveal a part of their overall plan to their hapless foe, before attempting to put them out of the fight.</p><p><b>Source: </b>Secret Files of Section D, page 7","Secret Files of Section D, page 7",false
"Bleeder","Some individuals bleed much more freely than others. Maybe it’s an actual genetic condition, or maybe the victim is just unlucky and nicks a vein every time he gets stuck by some psycho with a knife.</p><p> Any time the victim suffers a wound that doesn’t Incapacitate him, he begins to bleed. Each round after suffering the wound he must make a Vigor roll or suffer a level of Fatigue that can lead to death. The bleeding can be stopped with a successful Healing roll, and is recovered at the rate of one level per hour afterwards—assuming reasonable food or fluids.</p><p><b>Source: </b>Horror Companion, page 3","Horror Companion, page 3",true
"Bullet Magnet","Sometimes a person just winds up in the wrong place at the wrong time. Some people seem to make a habit out of it.</p><p> This unfortunate soul is hit by accidental fire (using the Innocent Bystander rules) on a 1–2 for single-shot weapons, and a 1–3 for shotguns or full-auto fire.</p><p><b>Source: </b>Horror Companion, page 4","Horror Companion, page 4",true
"By the Book","You follow the rules, even when it’s against your best interest. You follow proper protocols at all times. This has good and bad points – on the plus side, you’ve got a +2 bonus to Spirit rolls to resist influences that might distract you from your duties. The downside is that you’re a stickler for following written instructions and official policy – if you disobey the orders of a superior officer, breach the rules of your organization, or even skip the boring paperwork, the Game Master can decide that it costs you bennies.<p><b>Note:</b> Cannot be taken with the Impulsive Hindrance.</p><p><b>Source: </b>Pulp Fantastic, page 76","Pulp Fantastic, page 76",false
"Combat Shock","Some people freeze up when things get dangerous, and your hero is one of them. It could be due to fear, flashbacks, or something else; whatever the reason, in the first round of any combat, you must make a Fear check. If you have the Major version, this roll is at -2.</p><p><b>Source: </b>Horror Companion, page 4","Horror Companion, page 4",true
"Cursed","Your hero has done somebody wrong, either through past affiliation or dark, unspoken deeds. For each player character with the Cursed Hindrance, the GM starts with one additional Benny!</p><p><b>Source: </b>Deadlands The Weird West, page 15","Deadlands The Weird West, page 15",true
"Cursed","Your heroine crossed some dark power and has forever after been marked by its tainted touch. Your character may never receive beneficial blessings such as those from the Arcane Background (Miracles) Edge.</p><p><b>Source: </b>Rippers Resurrected, page 14","Rippers Resurrected, page 14",true
"Cursed","Your heroine crossed some dark power and has forever after been marked by its tainted touch. Your character may never receive beneficial blessings such as those from the Arcane Background (Miracles) Edge.</p><p> This Hindrance may only be taken in a setting that allows the Arcane Background (Miracles) Edge.</p><p><b>Source: </b>Horror Companion, page 4","Horror Companion, page 4",true
